station_id,date_time,parameter,value,unit,depth,depth_unit
NERRS_sfbgcwq,2021-10-07 11:00:00-07:00,pH,28.6,,-21,ft
PMELCO2_alawai,2016-08-03 08:17:00-07:00,co2,463.5,ppm,-3,ft
NERRS_pdbbywq,2021-10-12 08:30:00-07:00,oxygen_saturation,78.9,%,-9,ft
NERRS_sfbsmwq,2021-10-16 02:30:00-07:00,oxygen_concentration,1.2,mg/L,-26,ft
PMELCO2_cce1,2018-06-26 11:17:00-07:00,co2,400.0,ppm,-3,ft
PMELCO2_crimp,2018-08-07 20:17:00-07:00,co2,446.3,ppm,-3,ft
PMELCO2_whots,2008-08-22 11:17:00-07:00,water_temperature,78.782,°F,-3,ft
PMELCO2_crimp,2018-10-11 11:17:00-07:00,water_temperature,81.176,°F,-3,ft
NERRS_sfbccwq,2021-09-20 14:00:00-07:00,water_temperature,66.92,°F,-6,ft
PMELCO2_cce1,2017-02-19 19:17:00-08:00,co2,377.7,ppm,-3,ft
PMELCO2_cce2,2014-02-18 07:17:00-08:00,co2,412.8,ppm,-3,ft
PMELCO2_crimp,2010-08-11 17:17:00-07:00,co2,353.9,ppm,-3,ft
NERRS_soswiwq,2021-09-25 22:00:00-07:00,salinity,11.0,PSU,-1,ft
PMELCO2_whots,2008-04-08 05:16:00-07:00,salinity,35.25,PSU,-3,ft
PMELCO2_alawai,2010-05-12 11:17:00-07:00,salinity,34.87,PSU,-3,ft
PMELCO2_alawai,2009-11-28 07:17:00-08:00,co2,402.0,ppm,-3,ft
NERRS_elkvmwq,2021-09-14 17:15:00-07:00,water_temperature,56.84,°F,6,ft
NERRS_sfbccwq,2021-09-14 21:45:00-07:00,salinity,29.9,PSU,-5,ft
PMELCO2_whots,2016-04-12 23:17:00-07:00,co2,383.3,ppm,-3,ft
NERRS_sfbccwq,2021-09-05 06:00:00-07:00,water_temperature,60.62,°F,0,ft
KC_SEAQYSI,2021-10-31 04:30:00-07:00,oxygen_saturation,65.4,%,-33,ft
KC_SEAQYSI,2021-09-16 09:00:00-07:00,pH,7.78,,-33,ft
NERRS_sfbsmwq,2021-10-15 19:45:00-07:00,pH,7.7,,-26,ft
NERRS_elkvmwq,2021-10-20 08:30:00-07:00,salinity,32.7,PSU,0,ft
NERRS_pdbbywq,2021-09-25 07:45:00-07:00,oxygen_concentration,7.8,mg/L,-11,ft
PMELCO2_cce1,2017-06-25 11:17:00-07:00,pH,8.024,,-3,ft
NERRS_sfbccwq,2021-10-20 20:45:00-07:00,oxygen_saturation,0.5,%,-24,ft
PMELCO2_crimp,2020-11-13 13:17:00-08:00,water_temperature,78.656,°F,-3,ft
PMELCO2_cce2,2018-01-07 01:17:00-08:00,pH,8.06,,-3,ft
PMELCO2_cce2,2018-08-21 17:17:00-07:00,water_temperature,66.74,°F,-3,ft
NERRS_tjroswq,2021-10-20 16:00:00-07:00,oxygen_concentration,5.9,mg/L,3,ft
PMELCO2_cce1,2019-12-19 19:17:00-08:00,water_temperature,58.172,°F,-3,ft
PMELCO2_kilonalu,2008-09-23 23:16:00-07:00,co2,402.0,ppm,-3,ft
PMELCO2_cce1,2010-09-09 02:17:00-07:00,water_temperature,60.134,°F,-3,ft
NERRS_pdbbywq,2021-10-31 00:30:00-07:00,salinity,28.5,PSU,-10,ft
PMELCO2_cce2,2012-04-09 20:17:00-07:00,co2,701.8,ppm,-3,ft
PMELCO2_whots,2017-05-04 08:17:00-07:00,co2,403.6,ppm,-3,ft
PMELCO2_kaneohe,2016-01-07 13:17:00-08:00,water_temperature,75.974,°F,-3,ft
NERRS_elkvmwq,2021-09-14 09:15:00-07:00,water_temperature,55.58,°F,3,ft
PMELCO2_alawai,2009-03-02 13:17:00-08:00,salinity,34.87,PSU,-3,ft
PMELCO2_cce2,2020-01-07 13:17:00-08:00,salinity,33.55,PSU,-3,ft
PMELCO2_whots,2008-02-29 04:16:00-08:00,co2,361.9,ppm,-3,ft
NERRS_pdbbpwq,2021-09-28 00:45:00-07:00,pH,7.7,,-7,ft
PMELCO2_cce1,2019-12-15 01:17:00-08:00,water_temperature,58.676,°F,-3,ft
PMELCO2_cce2,2017-05-08 08:17:00-07:00,pH,7.981,,-3,ft
PMELCO2_crimp,2013-02-03 07:17:00-08:00,salinity,33.99,PSU,-3,ft
PMELCO2_crimp,2011-07-09 23:17:00-07:00,salinity,34.95,PSU,-3,ft
PMELCO2_crimp,2014-07-22 20:17:00-07:00,water_temperature,81.554,°F,-3,ft
NERRS_elkvmwq,2021-10-09 06:00:00-07:00,oxygen_saturation,85.1,%,3,ft
PMELCO2_cce1,2016-12-25 07:17:00-08:00,co2,378.5,ppm,-3,ft
PMELCO2_alawai,2011-07-24 05:17:00-07:00,salinity,34.66,PSU,-3,ft
PMELCO2_cce1,2019-04-08 23:17:00-07:00,pH,8.019,,-3,ft
PMELCO2_cce2,2011-08-17 20:17:00-07:00,co2,412.8,ppm,-3,ft
PMELCO2_cce2,2017-05-05 17:17:00-07:00,water_temperature,53.816,°F,-3,ft
PMELCO2_cce2,2019-03-18 17:17:00-07:00,co2,297.1,ppm,-3,ft
NERRS_sfbccwq,2021-09-19 18:15:00-07:00,oxygen_saturation,94.6,%,-2,ft
NERRS_sfbsmwq,2021-10-07 11:45:00-07:00,salinity,75.8,PSU,-22,ft
PMELCO2_whots,2020-02-26 04:17:00-08:00,salinity,34.77,PSU,-3,ft
KC_SEAQYSI,2021-10-30 16:15:00-07:00,oxygen_concentration,5.97,mg/L,-33,ft
NDBC_46041,2021-10-18 04:40:00-07:00,water_temperature,53.6,°F,-2,ft
PMELCO2_crimp,2008-08-07 05:16:00-07:00,salinity,35.22,PSU,-3,ft
APL_Chaba,2021-09-10 14:17:00-07:00,water_temperature,58.046,°F,-3,ft
NERRS_sfbsmwq,2021-10-09 17:45:00-07:00,oxygen_saturation,33.0,%,-25,ft
PMELCO2_whots,2017-10-16 08:17:00-07:00,water_temperature,79.988,°F,-3,ft
PMELCO2_whots,2015-01-18 07:17:00-08:00,water_temperature,74.606,°F,-3,ft
NERRS_sfbccwq,2021-11-02 01:30:00-07:00,pH,21.7,,-24,ft
PMELCO2_kaneohe,2016-05-18 17:17:00-07:00,co2,399.8,ppm,-3,ft
PMELCO2_crimp,2012-02-22 22:17:00-08:00,salinity,35.27,PSU,-3,ft
PMELCO2_whots,2014-02-14 13:17:00-08:00,salinity,35.42,PSU,-3,ft
PMELCO2_kilonalu,2012-12-05 16:17:00-08:00,co2,438.6,ppm,-3,ft
NERRS_elksmwq,2021-10-02 13:30:00-07:00,oxygen_concentration,7.4,mg/L,3,ft
NERRS_pdbbpwq,2021-10-01 06:45:00-07:00,salinity,29.3,PSU,-4,ft
NERRS_sfbsmwq,2021-10-15 19:30:00-07:00,pH,7.6,,-26,ft
PMELCO2_cce1,2016-10-25 11:17:00-07:00,pH,8.064,,-3,ft
