ID,Name,Description,Type,Lat,Lon,URL,Region,State / Province,Provider,Provider Type,Provider URL,Measurements
APSH_Seward1,AOOS Alutiiq Burkolator,AOOS Burkolator at Alutiiq Pride Shellfish Hatchery,Fixed Shore Platform,60.0992,-149.4428,http://aoos.org,"Seward, Resurrection Bay",Alaska,Alutiiq Pride Shellfish,Industry,http://alutiiqpridehatchery.com,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Omega - Aragonite Sat., pH, Salinity, Water Temperature"
OCAL_Ketchikan1,AOOS OceansAlaska Burkolator,AOOS Burkolator at OceansAlaska Ketchikan Shellfish Hatchery,Fixed Shore Platform,55.315,-131.5954,http://oceansalaska.org,"Tongass Narrows, Alexander Archipelago",Alaska,OceansAlaska,Non-Profit,http://oceansalaska.org,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Omega - Aragonite Sat., pH, Salinity, Water Temperature"
APL_Chaba,APL-UW Ćháʔba·,Ćháʔba· UW/NANOOS Moored Buoy near La Push,Buoy,47.9627,-124.958,http://orca.ocean.washington.edu/prod_CS_ChaBa.shtml,"La Push, West Coast",Washington,APL-UW,Academic,http://www.nanoos.org/,"Air Temperature, Barometric Pressure, Chlorophyll, CO2 Air, CO2 Water, Dewpoint Temperature, Oxygen Concentration, pH, Pressure, Relative Humidity, Salinity, Solar Radiation, Turbidity, Water Temperature, Wind Speed"
HIOC_Hogisland1,CeNCOOS Hog Island Burkolator,CeNCOOS Burkolator at Hog Island Oyster Farm,Fixed Shore Platform,38.162,-122.8939,http://hogislandoysters.com/science-policy/ocean-acidification-research,"Marshall, Tomales Bay, West Coast",California,Hog Island Oysters,Industry,http://hogislandoysters.com,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Omega - Aragonite Sat., pH, Salinity, Water Temperature"
FBO_Fannybay1,Fanny Bay Oysters,"Fanny Bay Oysters, Baynes Sound",Fixed Shore Platform,49.4716,-124.7927,http://www.fannybayoysters.com,"Baynes Sound, Strait of Georgia, West Coast",British Columbia,FannyBayOysters,Industry,http://www.fannybayoysters.com,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Omega - Aragonite Sat., pH, Salinity, Water Temperature"
HAKAI_KCBuoy,Hakai KC Buoy,"Seaology CO2 Buoy in Kwakshua Channel, BC",Buoy,51.6501,-127.9664,https://www.hakai.org/blog/life-at-hakai/its-a-buoy,"Kwakshua Channel, Queen Charlotte Sound",British Columbia,Hakai Institute,Academic,https://www.hakai.org,"Air Temperature, Barometric Pressure, CO2 Air, CO2 Water, Salinity, Water Temperature, Wind Direction, Wind Speed"
HAKAI_Quadra1,Hakai Quadra Island,Quadra Island Field Station at Hyacinthe Bay,Fixed Shore Platform,50.116,-125.222,https://www.hakai.org/blog/science-coastal-margin/meet-burke-o-lator,"Sutil Channel, Strait of Georgia, West Coast",British Columbia,Hakai Institute,Academic,http://www.hakai.org,"Alkalinity (total), CO2 Water, Dissolved Inorg. Carbon, Omega - Aragonite Sat., pH, Salinity, Water Temperature"
OSU_NOAA_OI,NCDC OI SST,NCDC Optimum Interpolation SST,Satellite,46.1,-129.5,http://www.ncdc.noaa.gov/sst/,Worldwide,"Washington, Oregon, California, British Columbia",NOAA-NCDC,Federal,http://www.ncdc.noaa.gov,Water Temperature
NDBC_46041,NDBC Cape Elizabeth,NDBC 46041 - Cape Elizabeth - 45NM NW of Aberdeen,Buoy,47.353,-124.731,http://www.ndbc.noaa.gov/station_page.php?station=46041,"Cape Elizabeth, West Coast",Washington,NDBC,Federal,http://www.ndbc.noaa.gov/maps/Northwest.shtml,"Air Temperature, Average Wave Period, Barometric Pressure, CO2 Air, CO2 Water, Dominant Wave Period, pH, Salinity, Water Temperature, Wave Height, Wave Mean Direction, Wind Direction, Wind Gust, Wind Speed"
NERRS_elkapwq,NERRS elkapwq,"Azevedo Pond (elkapwq), Elkhorn Slough Reserve",Fixed Shore Platform,36.8457,-121.7538,http://nerrsdata.org/get/realTime.cfm?stationCode=elkapwq,"Elkhorn Slough, West Coast",California,NERRS ELK,Federal,http://nerrs.noaa.gov/reserves/elkhorn-slough.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Level, Water Temperature"
NERRS_elksmwq,NERRS elksmwq,"South Marsh (elksmwq), Elkhorn Slough Reserve",Fixed Shore Platform,36.8179,-121.7394,http://nerrsdata.org/get/realTime.cfm?stationCode=elksmwq,"Elkhorn Slough, West Coast",California,NERRS ELK,Federal,http://nerrs.noaa.gov/reserves/elkhorn-slough.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Level, Water Temperature"
NERRS_elkvmwq,NERRS elkvmwq,"Vierra Mouth (elkvmwq), Elkhorn Slough Reserve",Fixed Shore Platform,36.8111,-121.7792,http://nerrsdata.org/get/realTime.cfm?stationCode=elkvmwq,"Elkhorn Slough, West Coast",California,NERRS ELK,Federal,http://nerrs.noaa.gov/reserves/elkhorn-slough.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Level, Water Temperature"
NERRS_job09wq,NERRS job09wq,"Station 9 (job09wq), Jobos Bay Reserve",Fixed Shore Platform,17.9437,-66.2385,http://nerrsdata.org/get/realTime.cfm?stationCode=job09wq,"Jobos Bay, Caribbean",Puerto Rico,NERRS JOB,Federal,http://nerrs.noaa.gov/reserves/jobos-bay.html,"Chlorophyll, Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_job20wq,NERRS job20wq,"Station 20 (job20wq), Jobos Bay Reserve",Fixed Shore Platform,17.9303,-66.2115,http://nerrsdata.org/get/realTime.cfm?stationCode=job20wq,"Jobos Bay, Caribbean",Puerto Rico,NERRS JOB,Federal,http://nerrs.noaa.gov/reserves/jobos-bay.html,"Chlorophyll, Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_kachdwq,NERRS kachdwq,"Homer Dolphin Deep (kachdwq), Kachemak Bay Reserve",Fixed Shore Platform,59.602,-151.4088,http://nerrsdata.org/get/realTime.cfm?stationCode=kachdwq,Kachemak Bay,Alaska,NERRS KAC,Federal,http://nerrs.noaa.gov/reserves/kachemak-bay.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_kacsdwq,NERRS kacsdwq,"Seldovia Deep (kacsdwq), Kachemak Bay Reserve",Fixed Shore Platform,59.441,-151.721,http://nerrsdata.org/get/realTime.cfm?stationCode=kacsdwq,Kachemak Bay,Alaska,NERRS KAC,Federal,http://nerrs.noaa.gov/reserves/kachemak-bay.html,"Chlorophyll, Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_pdbbpwq,NERRS pdbbpwq,"Ploeg Channel (pdbbpwq), Padilla Bay Reserve",Fixed Shore Platform,48.5563,-122.5309,http://nerrsdata.org/get/realTime.cfm?stationCode=pdbbpwq,"Padilla Bay, West Coast",Washington,NERRS PDB,Federal,http://nerrs.noaa.gov/reserves/padilla-bay.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_pdbbywq,NERRS pdbbywq,"Bayview Channel (pdbbywq), Padilla Bay Reserve",Fixed Shore Platform,48.4961,-122.5021,http://nerrsdata.org/get/realTime.cfm?stationCode=pdbbywq,"Padilla Bay, West Coast",Washington,NERRS PDB,Federal,http://nerrs.noaa.gov/reserves/padilla-bay.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_sfbccwq,NERRS sfbccwq,"China Camp (sfbccwq), San Francisco Bay Reserve",Fixed Shore Platform,38.0012,-122.4604,http://nerrsdata.org/get/realTime.cfm?stationCode=sfbccwq,"San Francisco Bay, West Coast",California,NERRS SFB,Federal,http://nerrs.noaa.gov/reserves/san-francisco-bay.html,"Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
NERRS_sfbfmwq,NERRS sfbfmwq,"First Mallard (sfbfmwq), San Francisco Bay Reserve",Fixed Shore Platform,38.1949,-122.0328,http://nerrsdata.org/get/realTime.cfm?stationCode=sfbfmwq,"San Francisco Bay, West Coast",California,NERRS SFB,Federal,http://nerrs.noaa.gov/reserves/san-francisco-bay.html,"Chlorophyll, Conductivity, Oxygen Concentration, Oxygen Percent Sat., pH, Salinity, Turbidity, Water Depth, Water Temperature"
