platform_label,measurement_label,process
APSH_Seward1,H1_AlkalinityTot,False
APSH_Seward1,H1_OmegaAragSat,False
APSH_Seward1,H1_OxygenSat,False
APSH_Seward1,H1_pH,False
APSH_Seward1,H1_Salinity,False
APSH_Seward1,H1_TCO2,False
APSH_Seward1,H1_WaterTemp,False
APSH_Seward1,H2_CO2,False
OCAL_Ketchikan1,H1_AlkalinityTot,False
OCAL_Ketchikan1,H1_OmegaAragSat,False
OCAL_Ketchikan1,H1_OxygenSat,False
OCAL_Ketchikan1,H1_pH,False
OCAL_Ketchikan1,H1_Salinity,False
OCAL_Ketchikan1,H1_TCO2,False
OCAL_Ketchikan1,H1_WaterTemp,False
OCAL_Ketchikan1,H2_CO2,False
APL_Chaba,A1_AirTemp,True
APL_Chaba,A1_BarPress,True
APL_Chaba,A1_CO2Air,False
APL_Chaba,A1_DewTemp,False
APL_Chaba,A1_RelHumidity,False
APL_Chaba,A1_SolarRad,False
APL_Chaba,A1_WindSpeed,False
APL_Chaba,H1_Chlorophyll,False
APL_Chaba,H1_CO2,True
APL_Chaba,H1_Oxygen,True
APL_Chaba,H1_pH,True
APL_Chaba,H1_Pressure,True
APL_Chaba,H1_Salinity,True
APL_Chaba,H1_Turbidity,False
APL_Chaba,H1_WaterTemp,True
APL_Chaba,H2_Conductiv,False
HIOC_Hogisland1,H1_AlkalinityTot,True
HIOC_Hogisland1,H1_OmegaAragSat,False
HIOC_Hogisland1,H1_OxygenSat,True
HIOC_Hogisland1,H1_pH,True
HIOC_Hogisland1,H1_Salinity,True
HIOC_Hogisland1,H1_TCO2,True
HIOC_Hogisland1,H1_WaterTemp,True
HIOC_Hogisland1,H2_CO2,True
FBO_Fannybay1,H1_AlkalinityTot,False
FBO_Fannybay1,H1_OmegaAragSat,False
FBO_Fannybay1,H1_pH,False
FBO_Fannybay1,H1_Salinity,False
FBO_Fannybay1,H1_TCO2,False
FBO_Fannybay1,H1_WaterTemp,False
FBO_Fannybay1,H2_CO2,False
HAKAI_KCBuoy,A1_AirTemp,False
HAKAI_KCBuoy,A1_BarPress,False
HAKAI_KCBuoy,A1_CO2Air,False
HAKAI_KCBuoy,A1_WindDir,False
HAKAI_KCBuoy,A1_WindSpeed,False
HAKAI_KCBuoy,H1_CO2,False
HAKAI_KCBuoy,H1_Salinity,False
