platform_label,measurement_label,measurement_depth,measurement_time,value,units
APSH_Seward1,H1_AlkalinityTot,-30.5m,1604952718,1848.4900,µmol/kg
APSH_Seward1,H1_OmegaAragSat,-30.5m,1604952718,1.2824,
APSH_Seward1,H1_OxygenSat,-30.5m,1604952718,39.9500,%
APSH_Seward1,H1_pH,-30.5m,1604952718,7.9739,
APSH_Seward1,H1_Salinity,-30.5m,1604952718,26.2782,PSU
APSH_Seward1,H1_TCO2,-30.5m,1604952718,1751.6100,µmol/kg
APSH_Seward1,H1_WaterTemp,-30.5m,1604952718,47.90336,°F
APSH_Seward1,H2_CO2,-30.5m,1604535289,386.3300,µatm
OCAL_Ketchikan1,H1_AlkalinityTot,-2.4m,1558026699,2104.5100,µmol/kg
OCAL_Ketchikan1,H1_OmegaAragSat,-2.4m,1558026699,1.5588,
OCAL_Ketchikan1,H1_OxygenSat,-2.4m,1558026699,39.9500,%
OCAL_Ketchikan1,H1_pH,-2.4m,1558026699,8.0106,
OCAL_Ketchikan1,H1_Salinity,-2.4m,1558026699,30.7459,PSU
OCAL_Ketchikan1,H1_TCO2,-2.4m,1558026699,1973.7600,µmol/kg
OCAL_Ketchikan1,H1_WaterTemp,-2.4m,1558026699,47.77466,°F
OCAL_Ketchikan1,H2_CO2,-2.4m,1558023294,369.7700,µatm
APL_Chaba,A1_AirTemp,2.7m,1539773749,55.4,°F
APL_Chaba,A1_BarPress,2.7m,1539773749,30.141271,inHg
APL_Chaba,A1_CO2Air,3m,1632691020,410.9000,ppm
APL_Chaba,A1_DewTemp,2.7m,1539773749,48.92,°F
APL_Chaba,A1_RelHumidity,2.7m,1539773749,78.3000,%
APL_Chaba,A1_SolarRad,2.7m,1539773749,0.9000,W/m²
APL_Chaba,A1_WindSpeed,3.5m,1539740777,1941.900156,knots
APL_Chaba,H1_Chlorophyll,-1m,1632691020,2.6200,µg/L
APL_Chaba,H1_CO2,-1m,1632691020,459.3000,ppm
APL_Chaba,H1_Oxygen,-1m,1632691020,8.9200,mg/L
APL_Chaba,H1_Oxygen,-84m,1539726630,2.5186,mg/L
APL_Chaba,H1_pH,-1.2m,1539774012,7.9261,
APL_Chaba,H1_pH,-1m,1607905020,8.0140,
APL_Chaba,H1_Pressure,-60m,1534978235,61.4170,dbar
APL_Chaba,H1_Pressure,-84m,1539726630,80.8710,dbar
APL_Chaba,H1_Salinity,-1m,1632691020,32.2100,PSU
APL_Chaba,H1_Salinity,-84m,1539726630,33.8582,PSU
APL_Chaba,H1_Turbidity,-1m,1632691020,0.3000,NTU
APL_Chaba,H1_WaterTemp,-1m,1632691020,51.53,°F
APL_Chaba,H1_WaterTemp,-60m,1534978235,46.49792,°F
APL_Chaba,H1_WaterTemp,-84m,1539726630,46.51448,°F
APL_Chaba,H2_Conductiv,-84m,1539726630,3.5241,S/m
HIOC_Hogisland1,H1_AlkalinityTot,-2.6m,1539810041,2053.7900,µmol/kg
HIOC_Hogisland1,H1_OmegaAragSat,-2.6m,1539810041,1.5923,
HIOC_Hogisland1,H1_OxygenSat,-2.6m,1523574959,39.9500,%
HIOC_Hogisland1,H1_pH,-2.6m,1539810041,8.1193,
HIOC_Hogisland1,H1_Salinity,-2.6m,1539810041,33.9192,PSU
HIOC_Hogisland1,H1_TCO2,-2.6m,1535473756,1645.1400,µmol/kg
HIOC_Hogisland1,H1_WaterTemp,-2.6m,1539810041,63.99122,°F
HIOC_Hogisland1,H2_CO2,-2.6m,1539779112,130.8000,µatm
FBO_Fannybay1,H1_AlkalinityTot,-6m,1625923588,1728.3700,µmol/kg
FBO_Fannybay1,H1_OmegaAragSat,-6m,1625923588,0.1529,
FBO_Fannybay1,H1_pH,-6m,1625923588,6.7832,
FBO_Fannybay1,H1_Salinity,-6m,1625923588,24.2558,PSU
FBO_Fannybay1,H1_TCO2,-6m,1625923588,1933.7300,µmol/kg
FBO_Fannybay1,H1_WaterTemp,-6m,1625923588,77.10224,°F
FBO_Fannybay1,H2_CO2,-6m,1625922688,7207.6300,µatm
HAKAI_KCBuoy,A1_AirTemp,3m,1633302000,47.73506,°F
HAKAI_KCBuoy,A1_BarPress,3m,1633302000,30.18754451,inHg
HAKAI_KCBuoy,A1_CO2Air,1m,1631692800,467.4100,ppm
HAKAI_KCBuoy,A1_WindDir,3m,1633302000,114.7000,deg (from)
HAKAI_KCBuoy,A1_WindSpeed,3m,1633302000,13.148160816,knots
HAKAI_KCBuoy,H1_CO2,-0.5m,1631718000,845.1300,ppm
HAKAI_KCBuoy,H1_Salinity,-0.5m,1633302000,27.0567,PSU
HAKAI_KCBuoy,H1_WaterTemp,-0.5m,1633302000,51.81206,°F
HAKAI_Quadra1,H1_AlkalinityTot,-1.0m,1633302899,1753.3500,µmol/kg
HAKAI_Quadra1,H1_OmegaAragSat,-1.0m,1633302899,1.1955,
HAKAI_Quadra1,H1_OxygenSat,-1.0m,1492102600,39.9500,%
HAKAI_Quadra1,H1_pH,-1.0m,1633302899,7.9271,
HAKAI_Quadra1,H1_Salinity,-1.0m,1633302899,24.6739,PSU
HAKAI_Quadra1,H1_TCO2,-1.0m,1633302899,1666.0300,µmol/kg
HAKAI_Quadra1,H1_WaterTemp,-1.0m,1633302899,55.2911,°F
HAKAI_Quadra1,H2_CO2,-1.0m,1633302899,444.1300,µatm
NDBC_46041,A1_AirTemp,4m,1633303200,54.86,°F
NDBC_46041,A1_BarPress,0m,1633303200,30.158989,inHg
NDBC_46041,A1_CO2Air,2m,1632691020,411.0000,ppm
NDBC_46041,A1_WindDir,5m,1633303200,350.0000,deg (from)
NDBC_46041,A1_WindGust,5m,1633303200,19.43844,knots
NDBC_46041,A1_WindSpeed,5m,1633303200,15.550752,knots
NDBC_46041,H1_AvgWavePrd,0m,1633300800,8.8000,sec
NDBC_46041,H1_CO2,-0.1m,1632691020,394.2000,ppm
NDBC_46041,H1_DomWavePrd,0m,1633279800,13.0000,sec
NDBC_46041,H1_Salinity,-0.1m,1632691020,31.9500,PSU
NDBC_46041,H1_WaterTemp,-0.6m,1633303200,56.48,°F
NDBC_46041,H1_WaveHght,0m,1633300800,11.811024,ft
NDBC_46041,H1_WaveMeanDir,0m,1633300800,285.0000,deg (from)
NERRS_elkapwq,H1_Conductiv,1.45m,1633298400,53.9200,mS/cm
NERRS_elkapwq,H1_Oxygen,1.45m,1633298400,8.6000,mg/L
NERRS_elkapwq,H1_OxygenSat,1.45m,1633298400,127.7000,%
NERRS_elkapwq,H1_pH,1.45m,1633298400,8.2000,
NERRS_elkapwq,H1_Salinity,1.45m,1633298400,35.6000,PSU
NERRS_elkapwq,H1_Turbidity,1.45m,1633298400,12.0000,NTU
