platform_label,measurement_label,process
APSH_Seward1,H1_AlkalinityTot,FALSE
APSH_Seward1,H1_OmegaAragSat,FALSE
APSH_Seward1,H1_OxygenSat,FALSE
APSH_Seward1,H1_pH,FALSE
APSH_Seward1,H1_Salinity,FALSE
APSH_Seward1,H1_TCO2,FALSE
APSH_Seward1,H1_WaterTemp,FALSE
APSH_Seward1,H2_CO2,FALSE
OCAL_Ketchikan1,H1_AlkalinityTot,FALSE
OCAL_Ketchikan1,H1_OmegaAragSat,FALSE
OCAL_Ketchikan1,H1_OxygenSat,FALSE
OCAL_Ketchikan1,H1_pH,FALSE
OCAL_Ketchikan1,H1_Salinity,FALSE
OCAL_Ketchikan1,H1_TCO2,FALSE
OCAL_Ketchikan1,H1_WaterTemp,FALSE
OCAL_Ketchikan1,H2_CO2,FALSE
APL_Chaba,A1_AirTemp,TRUE
APL_Chaba,A1_BarPress,TRUE
APL_Chaba,A1_CO2Air,FALSE
APL_Chaba,A1_DewTemp,FALSE
APL_Chaba,A1_RelHumidity,FALSE
APL_Chaba,A1_SolarRad,FALSE
APL_Chaba,A1_WindSpeed,FALSE
APL_Chaba,H1_Chlorophyll,FALSE
APL_Chaba,H1_CO2,TRUE
APL_Chaba,H1_Oxygen,TRUE
APL_Chaba,H1_pH,TRUE
APL_Chaba,H1_Pressure,TRUE
APL_Chaba,H1_Salinity,TRUE
APL_Chaba,H1_Turbidity,FALSE
APL_Chaba,H1_WaterTemp,TRUE
APL_Chaba,H2_Conductiv,FALSE
HIOC_Hogisland1,H1_AlkalinityTot,TRUE
HIOC_Hogisland1,H1_OmegaAragSat,FALSE
HIOC_Hogisland1,H1_OxygenSat,TRUE
HIOC_Hogisland1,H1_pH,TRUE
HIOC_Hogisland1,H1_Salinity,TRUE
HIOC_Hogisland1,H1_TCO2,TRUE
HIOC_Hogisland1,H1_WaterTemp,TRUE
HIOC_Hogisland1,H2_CO2,TRUE
FBO_Fannybay1,H1_AlkalinityTot,FALSE
FBO_Fannybay1,H1_OmegaAragSat,FALSE
FBO_Fannybay1,H1_pH,FALSE
FBO_Fannybay1,H1_Salinity,FALSE
FBO_Fannybay1,H1_TCO2,FALSE
FBO_Fannybay1,H1_WaterTemp,FALSE
FBO_Fannybay1,H2_CO2,FALSE
