,station_id,parameter,unit,instrument,method,equipment_id
0,tiburon-water-tibc1,mass_concentration_of_chlorophyll_in_sea_water,microg/L,YSI 6600v2,,
1,tiburon-water-tibc1,sea_water_electrical_conductivity,mS/cm,YSI 6600v2,,
2,tiburon-water-tibc1,mass_concentration_of_oxygen_in_sea_water,mg/L,YSI 6600v2,,
3,tiburon-water-tibc1,fractional_saturation_of_oxygen_in_sea_water,%,YSI 6600v2,,
4,tiburon-water-tibc1,sea_water_practical_salinity,PSU,YSI 6600v2,,
5,tiburon-water-tibc1,sea_water_temperature,C,YSI 6600v2,,
6,tiburon-water-tibc1,total_dissolved_solids,g/L,YSI 6600v2,,
7,tiburon-water-tibc1,sea_water_turbidity,ntu,YSI 6600v2,,
8,tiburon-water-tibc1,sea_water_ph_reported_on_total_scale,pH,YSI 6600v2,,
9,edu_humboldt_tdp,mass_concentration_of_chlorophyll_in_sea_water,microg/L,YSI 6600v2,,
10,edu_humboldt_tdp,sea_water_electrical_conductivity,mS/cm,YSI 6600v2,,
11,edu_humboldt_tdp,mass_concentration_of_oxygen_in_sea_water,mg/L,YSI 6600v2,,
12,edu_humboldt_tdp,fractional_saturation_of_oxygen_in_sea_water,%,YSI 6600v2,,
13,edu_humboldt_tdp,sea_water_practical_salinity,PSU,YSI 6600v2,,
14,edu_humboldt_tdp,sea_water_pressure,decibars,YSI 6600v2,,
15,edu_humboldt_tdp,sea_water_temperature,C,YSI 6600v2,,
16,edu_humboldt_tdp,sea_water_turbidity,ntu,YSI 6600v2,,
17,edu_humboldt_tdp,sea_water_ph_reported_on_total_scale,pH,YSI 6600v2,,
18,edu_humboldt_tdp,sea_water_ph_reported_on_total_scale_external,pH,YSI 6600v2,,
19,edu_humboldt_tdp,sea_water_ph_reported_on_total_scale_internal,pH,YSI 6600v2,,
20,carquinez,mass_concentration_of_chlorophyll_in_sea_water,microg/L,YSI 6600v2,,
21,carquinez,sea_water_electrical_conductivity,mS/cm,YSI 6600v2,,
22,carquinez,mass_concentration_of_oxygen_in_sea_water,mg/L,YSI 6600v2,,
23,carquinez,fractional_saturation_of_oxygen_in_sea_water,%,YSI 6600v2,,
24,carquinez,sea_water_practical_salinity,PSU,YSI 6600v2,,
25,carquinez,sea_water_temperature,C,YSI 6600v2,,
26,carquinez,total_dissolved_solids,g/L,YSI 6600v2,,
27,carquinez,sea_water_turbidity,ntu,YSI 6600v2,,
28,carquinez,sea_water_ph_reported_on_total_scale,pH,YSI 6600v2,,
29,edu_humboldt_humboldt,mass_concentration_of_chlorophyll_in_sea_water,microg/L,,,
30,edu_humboldt_humboldt,sea_water_electrical_conductivity,mS/cm,,,
31,edu_humboldt_humboldt,mass_concentration_of_oxygen_in_sea_water,mg/L,,,
32,edu_humboldt_humboldt,fractional_saturation_of_oxygen_in_sea_water,%,,,
33,edu_humboldt_humboldt,surface_downwelling_shortwave_flux_in_air,W.m-2,,,
34,edu_humboldt_humboldt,surface_downwelling_photosynthetic_photon_flux_in_air,micromol.m-2.s-1,,,
35,edu_humboldt_humboldt,sea_water_practical_salinity,PSU,,,
36,edu_humboldt_humboldt,sea_water_pressure,decibars,,,
37,edu_humboldt_humboldt,sea_water_temperature,C,,,
38,edu_humboldt_humboldt,sea_water_turbidity,ntu,,,
39,edu_humboldt_humboldt,sea_water_ph_reported_on_total_scale,pH,,,
40,edu_calpoly_marine_morro,mass_concentration_of_chlorophyll_in_sea_water,microg/L,SeaBird,,
41,edu_calpoly_marine_morro,sea_water_electrical_conductivity,mS/cm,SeaBird,,
42,edu_calpoly_marine_morro,mass_concentration_of_oxygen_in_sea_water,micromol/L,SeaBird,,
43,edu_calpoly_marine_morro,fractional_saturation_of_oxygen_in_sea_water,%,SeaBird,,
44,edu_calpoly_marine_morro,sea_water_practical_salinity,PSU,SeaBird,,
45,edu_calpoly_marine_morro,sea_water_pressure,decibars,SeaBird,,
46,edu_calpoly_marine_morro,sea_water_temperature,C,SeaBird,,
47,edu_calpoly_marine_morro,sea_water_turbidity,ntu,SeaBird,,
48,edu_calpoly_marine_morro,sea_water_ph_reported_on_total_scale_external,pH,SeaBird,,
49,edu_calpoly_marine_morro,sea_water_ph_reported_on_total_scale_internal,pH,SeaBird,,
50,mlml_mlml_sea,pco2,microatm,,,
51,mlml_mlml_sea,sea_water_electrical_conductivity,mS/cm,,,
52,mlml_mlml_sea,fluorescence,microg/L,,,
53,mlml_mlml_sea,mole_concentration_of_nitrate_in_sea_water,micromol/L,,,
54,mlml_mlml_sea,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,micromol/L,,,
55,mlml_mlml_sea,fractional_saturation_of_oxygen_in_sea_water,%,,,
56,mlml_mlml_sea,volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water,1.m-1,,,
57,mlml_mlml_sea,sea_water_practical_salinity,PSU,,,
58,mlml_mlml_sea,sea_water_temperature,C,,,
59,mlml_mlml_sea,transmission_percent,%,,,
60,mlml_mlml_sea,sea_surface_height_above_sea_level_geoid_mllw,m,,,
61,mlml_mlml_sea,sea_water_ph_reported_on_total_scale,pH,,,
62,hog-island-hatchery,sea_water_electrical_conductivity,mS/cm,,,
63,hog-island-hatchery,sea_water_practical_salinity,PSU,,,
64,hog-island-hatchery,sea_water_temperature,C,,,
65,hog-island-hatchery,sea_water_ph_reported_on_total_scale_external,pH,,,
66,hog-island-hatchery,sea_water_ph_reported_on_total_scale_internal,pH,,,
67,humboldt-bay-burkeolator,bicarbonate_ion_hco3_,micromol/kg,,,
68,humboldt-bay-burkeolator,total_alkalinity_ta,micromol/kg,,,
69,humboldt-bay-burkeolator,dissolved_carbon_dioxide_co2,micromol/kg,,,
70,humboldt-bay-burkeolator,pco2,microatm,,,
71,humboldt-bay-burkeolator,dissolved_inorganic_carbon,micromol/kg,,,
72,humboldt-bay-burkeolator,carbonate_ion_co3__,micromol/kg,,,
73,humboldt-bay-burkeolator,omega_aragonite,pH,,,
74,humboldt-bay-burkeolator,sea_water_practical_salinity,PSU,,,
75,humboldt-bay-burkeolator,sea_water_temperature,C,,,
76,humboldt-bay-burkeolator,sea_water_ph_reported_on_total_scale,pH,,,
77,monterey-bay-aquarium-seawate,sea_water_electrical_conductivity,mS/cm,,,
78,monterey-bay-aquarium-seawate,fractional_saturation_of_oxygen_in_sea_water,%,,,
79,monterey-bay-aquarium-seawate,sea_water_temperature,C,,,
80,monterey-bay-aquarium-seawate,sea_water_ph_reported_on_total_scale,pH,,,
81,morro-bay-bs1,mass_concentration_of_chlorophyll_in_sea_water,microg/L,,,
82,morro-bay-bs1,sea_water_electrical_conductivity,mS/cm,,,
83,morro-bay-bs1,mass_concentration_of_oxygen_in_sea_water,micromol/L,,,
84,morro-bay-bs1,fractional_saturation_of_oxygen_in_sea_water,%,,,
85,morro-bay-bs1,sea_water_practical_salinity,PSU,,,
86,morro-bay-bs1,sea_water_pressure,decibars,,,
87,morro-bay-bs1,sea_water_temperature,C,,,
88,morro-bay-bs1,sea_water_turbidity,ntu,,,
