station_id,name,source,provider,QAPP,state,latitude,longitude
tiburon-water-tibc1,* CeNCOOS in situ water monitoring data at Romberg Tiburon Center Pier,Romberg Tiburon Center SFSU/CeNCOOS,CeNCOOS,,California,37.8915,-122.4467
edu_ucsc_scwharf1,* CeNCOOS in situ Water monitoring data at the Santa Cruz municipal wharf,"University of California, Santa Cruz",CeNCOOS,,California,36.9603,-122.0203
edu_humboldt_tdp,"* CeNCOOS in situ water monitoring data at Trinidad Head, California",Humboldt State University/CeNCOOS,CeNCOOS,,California,41.055,-124.147
carquinez,* CeNCOOS in situ water quality monitoring at Carquinez at the California Maritime campus.,San Francisco State University and The California Maritime Academy,CeNCOOS,,California,38.0657,-122.2302
edu_humboldt_humboldt,* CeNCOOS in situ water quality monitoring at Humboldt Bay Pier.,Humboldt State University,CeNCOOS,,California,40.7775,-124.1965
edu_calpoly_marine_morro,* CeNCOOS in situ water quality monitoring at Morro bay.,"California Polytechnic State Univeristy, San Luis Obispo",CeNCOOS,,California,35.3708,-120.8589
wiyot_tribe_indianisland,* CeNCOOS in situ water quality monitoring at Tuluwat (Indian Island).,Humboldt State University,CeNCOOS,,California,40.815,-124.1575
mlml_mlml_sea,* CeNCOOS in situ water quality monitoring using the seawater input for Moss Landing Marine Laboratory.,Moss Landing Marine Laboratory,CeNCOOS,,California,36.8025,-121.7915
hog-island-hatchery,Hog Island Oyster,"University of California Davis, Bodega Marine Laboratory",CeNCOOS,,California,38.162,-122.8939
humboldt-bay-burkeolator,Humboldt Bay Burke-O-Lator,Central & Northern California Ocean Observing System (CeNCOOS),CeNCOOS,,California,40.794,-124.193
monterey-bay-aquarium-seawate,Monterey Bay Aquarium Seawater Intake,Monterey Bay Aquarium,CeNCOOS,,California,36.6186,-121.9015
morro-bay-bs1,Morro Bay - BS1,"California Polytechnic State University, Center for Coastal Marine Sciences",CeNCOOS,,California,35.3338,-120.8473
newport-pier-automated-shore-sta,Newport Pier Automated Shore Station,Southern California Coastal Ocean Observing System (SCCOOS),CeNCOOS,,California,33.6073,-117.9289
ooi-ce01issm-rid16-06-phsend000,Coastal Endurance: Oregon Inshore Surface Mooring: Near Surface Instrument Frame: Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.6568,-124.0971
ooi-ce01issm-mfd35-06-phsend000,Coastal Endurance: Oregon Inshore Surface Mooring: Seafloor Multi-Function Node (MFN): Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.6568,-124.0971
ooi-ce04osbp-lj01c-10-phsend107,Coastal Endurance: Oregon Offshore Cabled Benthic Experiment Package: Low-Power JBox (LJ01C): Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.3695,-124.9537
ooi-ce04osps-pc01b-4b-phsena106,Coastal Endurance: Oregon Offshore Cabled Shallow Profiler Mooring: 200m Platform (PC01B): Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.3742,-124.9565
ooi-ce04ossm-rid26-06-phsend000,Coastal Endurance: Oregon Offshore Surface Mooring: Near Surface Instrument Frame: Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.3787,-124.9451
ooi-ce02shbp-lj01d-10-phsend103,Coastal Endurance: Oregon Shelf Cabled Benthic Experiment Package: Low-Power JBox (LJ01D): Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.6371,-124.3059
ooi-ce02shsm-rid26-06-phsend000,Coastal Endurance: Oregon Shelf Surface Mooring: Near Surface Instrument Frame: Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Oregon,44.6358,-124.3035
ooi-ce06issm-rid16-06-phsend000,Coastal Endurance: Washington Inshore Surface Mooring: Near Surface Instrument Frame: Seawater pH,Ocean Observatories Initiative (OOI),OOI,,Washington,47.1345,-124.2709
